type,agent,target,median,A,B,C,D,F
counterpicks,Widowmaker,Pharah,5,8,8,0,0,0
counterpicks,D.Va,Pharah,4,2,7,2,1,0
counterpicks,Reinhardt,Pharah,2,0,0,1,1,1
counterpicks,Roadhog,Pharah,4,4,5,3,1,0
counterpicks,Winston,Pharah,3,0,2,3,4,0
counterpicks,Zarya,Pharah,2,0,1,2,3,2
counterpicks,Ana,Pharah,4,4,5,1,0,0
counterpicks,Lucio,Pharah,1,1,0,0,0,5
counterpicks,Mercy,Pharah,1,0,1,0,0,5
counterpicks,Symmetra,Pharah,1,0,0,1,0,4
counterpicks,Zenyatta,Pharah,4,4,8,3,0,0
counterpicks,Genji,Reaper,3,1,2,4,0,0
counterpicks,McCree,Reaper,4,5,4,2,0,0
counterpicks,Pharah,Reaper,5,7,4,1,0,0
counterpicks,Reaper,Reaper,,,,,,
counterpicks,Soldier: 76,Reaper,3,0,3,2,3,0
counterpicks,Sombra,Reaper,4,0,1,1,0,0
counterpicks,Tracer,Reaper,4,1,2,1,1,0
counterpicks,Bastion,Reaper,4,2,3,2,1,1
counterpicks,Hanzo,Reaper,3,0,2,3,0,0
counterpicks,Junkrat,Reaper,4,0,4,3,0,0
counterpicks,Mei,Reaper,4,1,5,0,2,0
counterpicks,Torbjorn,Reaper,4,0,2,2,0,0
counterpicks,Widowmaker,Reaper,4,0,3,0,1,1
counterpicks,D.Va,Reaper,4,2,4,1,2,1
counterpicks,Reinhardt,Reaper,3,0,1,3,3,0
counterpicks,Roadhog,Reaper,2,2,1,4,4,6
counterpicks,Winston,Reaper,1,0,0,0,3,13
counterpicks,Zarya,Reaper,2,0,1,3,4,3
counterpicks,Ana,Reaper,3,1,0,5,4,1
counterpicks,Lucio,Reaper,4,3,1,2,1,1
counterpicks,Mercy,Reaper,1,0,1,1,0,4
counterpicks,Symmetra,Reaper,2,0,1,0,4,0
counterpicks,Zenyatta,Reaper,3,0,2,5,3,0
counterpicks,Genji,Soldier: 76,4,1,3,1,1,0
counterpicks,McCree,Soldier: 76,4,0,3,1,0,1
counterpicks,Pharah,Soldier: 76,2,1,0,2,6,2
counterpicks,Reaper,Soldier: 76,3,0,1,4,1,0
counterpicks,Soldier: 76,Soldier: 76,,,,,,
counterpicks,Sombra,Soldier: 76,2,0,0,0,2,2
counterpicks,Tracer,Soldier: 76,3,0,2,2,0,1
counterpicks,Bastion,Soldier: 76,3,0,2,3,0,1
counterpicks,Hanzo,Soldier: 76,3,0,1,2,0,0
counterpicks,Junkrat,Soldier: 76,4,1,2,3,0,0
counterpicks,Mei,Soldier: 76,4,0,3,2,0,0
counterpicks,Torbjorn,Soldier: 76,2,0,0,1,2,0
counterpicks,Widowmaker,Soldier: 76,3,1,0,2,1,0
counterpicks,D.Va,Soldier: 76,4,3,2,0,2,0
counterpicks,Reinhardt,Soldier: 76,4,1,2,0,0,0
counterpicks,Roadhog,Soldier: 76,4,4,4,0,1,0
counterpicks,Winston,Soldier: 76,3,0,2,3,1,0
counterpicks,Zarya,Soldier: 76,3,0,0,1,1,0
counterpicks,Ana,Soldier: 76,4,0,3,2,1,0
counterpicks,Lucio,Soldier: 76,4,0,2,1,0,0
counterpicks,Mercy,Soldier: 76,1,0,2,1,1,5
counterpicks,Symmetra,Soldier: 76,2,0,1,0,2,0
counterpicks,Zenyatta,Soldier: 76,3,0,1,1,0,1
counterpicks,Genji,Sombra,3,0,0,1,1,0
counterpicks,McCree,Sombra,5,2,1,0,0,0
counterpicks,Pharah,Sombra,3,0,1,1,1,0
counterpicks,Reaper,Sombra,3,0,1,2,0,0
counterpicks,Soldier: 76,Sombra,5,1,1,0,0,0
counterpicks,Sombra,Sombra,,,,,,
counterpicks,Tracer,Sombra,5,1,1,0,0,0
counterpicks,Bastion,Sombra,3,2,0,1,1,1
counterpicks,Hanzo,Sombra,4,1,1,1,0,1
counterpicks,Junkrat,Sombra,4,1,2,1,0,0
counterpicks,Mei,Sombra,5,3,1,1,0,0
counterpicks,Torbjorn,Sombra,3,0,1,2,0,0
counterpicks,Widowmaker,Sombra,3,1,0,1,1,0
counterpicks,D.Va,Sombra,4,1,1,0,1,0
counterpicks,Reinhardt,Sombra,2,0,1,0,2,0
counterpicks,Roadhog,Sombra,3,0,1,1,1,0
counterpicks,Winston,Sombra,5,3,3,0,0,0
counterpicks,Zarya,Sombra,4,1,2,1,1,0
counterpicks,Ana,Sombra,3,0,0,1,1,0
counterpicks,Lucio,Sombra,2,0,1,0,2,0
counterpicks,Mercy,Sombra,1,0,0,0,1,2
counterpicks,Symmetra,Sombra,3,0,0,2,1,0
counterpicks,Zenyatta,Sombra,3,0,0,1,1,0
counterpicks,Genji,Tracer,3,0,2,4,3,0
counterpicks,McCree,Tracer,5,6,3,1,0,0
counterpicks,Pharah,Tracer,4,0,4,1,1,0
counterpicks,Reaper,Tracer,3,0,2,3,1,0
counterpicks,Soldier: 76,Tracer,4,0,3,1,0,1
counterpicks,Sombra,Tracer,4,1,2,0,1,0
counterpicks,Tracer,Tracer,,,,,,
counterpicks,Bastion,Tracer,2,0,0,3,5,2
counterpicks,Hanzo,Tracer,3,1,1,2,1,1
counterpicks,Junkrat,Tracer,4,1,4,2,2,1
counterpicks,Mei,Tracer,3,2,3,3,4,1
counterpicks,Torbjorn,Tracer,5,6,2,1,0,1
counterpicks,Widowmaker,Tracer,3,1,1,1,3,0
counterpicks,D.Va,Tracer,3,0,2,3,1,0
counterpicks,Reinhardt,Tracer,2,0,0,2,1,2
counterpicks,Roadhog,Tracer,4,6,6,1,1,0
counterpicks,Winston,Tracer,4,2,6,4,1,1
counterpicks,Zarya,Tracer,3,0,1,2,2,0
counterpicks,Ana,Tracer,2,0,0,1,1,2
counterpicks,Lucio,Tracer,3,0,2,1,2,1
counterpicks,Mercy,Tracer,1,0,0,0,0,4
counterpicks,Symmetra,Tracer,3,0,2,1,0,2
counterpicks,Zenyatta,Tracer,2,0,1,1,1,3
counterpicks,Genji,Bastion,5,23,1,2,2,1
counterpicks,McCree,Bastion,4,2,4,3,2,0
counterpicks,Pharah,Bastion,5,6,1,0,3,0
counterpicks,Reaper,Bastion,3,2,0,3,1,3
counterpicks,Soldier: 76,Bastion,4,3,1,3,1,0
counterpicks,Sombra,Bastion,5,1,0,0,0,0
counterpicks,Tracer,Bastion,5,4,0,3,0,0
counterpicks,Bastion,Bastion,,,,,,
counterpicks,Hanzo,Bastion,5,4,1,0,0,0
counterpicks,Junkrat,Bastion,5,4,3,1,0,0
counterpicks,Mei,Bastion,4,1,2,1,0,0
counterpicks,Torbjorn,Bastion,1,0,0,0,3,4
counterpicks,Widowmaker,Bastion,5,6,2,0,0,1
counterpicks,D.Va,Bastion,4,1,2,2,1,0
counterpicks,Reinhardt,Bastion,2,0,1,2,3,2
counterpicks,Roadhog,Bastion,4,3,5,1,1,0
counterpicks,Winston,Bastion,2,0,1,1,4,5
counterpicks,Zarya,Bastion,3,1,2,1,2,1
counterpicks,Ana,Bastion,4,3,3,2,0,0
counterpicks,Lucio,Bastion,2,1,0,2,3,2
counterpicks,Mercy,Bastion,1,0,1,1,2,5
counterpicks,Symmetra,Bastion,3,4,0,3,2,4
counterpicks,Zenyatta,Bastion,4,4,6,1,0,1
counterpicks,Genji,Hanzo,4,0,3,0,0,0
counterpicks,McCree,Hanzo,3,0,1,5,2,0
counterpicks,Pharah,Hanzo,3,0,2,4,1,1
counterpicks,Reaper,Hanzo,3,0,2,3,1,0
counterpicks,Soldier: 76,Hanzo,4,1,3,1,0,0
counterpicks,Sombra,Hanzo,4,0,1,0,0,1
counterpicks,Tracer,Hanzo,4,0,2,0,1,1
counterpicks,Bastion,Hanzo,2,0,0,0,3,2
counterpicks,Hanzo,Hanzo,,,,,,
counterpicks,Junkrat,Hanzo,2,1,1,1,2,2
counterpicks,Mei,Hanzo,4,0,1,1,0,0
counterpicks,Torbjorn,Hanzo,2,0,0,0,4,3
counterpicks,Widowmaker,Hanzo,4,1,2,1,0,1
counterpicks,D.Va,Hanzo,4,1,3,2,0,0
counterpicks,Reinhardt,Hanzo,4,0,1,1,0,0
counterpicks,Roadhog,Hanzo,4,0,3,1,1,0
counterpicks,Winston,Hanzo,5,4,2,0,0,0
counterpicks,Zarya,Hanzo,3,0,0,1,1,0
counterpicks,Ana,Hanzo,4,0,1,0,1,0
counterpicks,Lucio,Hanzo,3,0,0,1,1,0
counterpicks,Mercy,Hanzo,3,0,1,2,0,3
counterpicks,Symmetra,Hanzo,4,0,2,1,0,1
counterpicks,Zenyatta,Hanzo,2,0,1,1,1,2
counterpicks,Genji,Junkrat,3,2,1,2,1,2
counterpicks,McCree,Junkrat,4,2,4,1,1,0
counterpicks,Pharah,Junkrat,5,10,1,0,0,0
counterpicks,Reaper,Junkrat,3,1,2,3,2,1
counterpicks,Soldier: 76,Junkrat,5,2,1,0,1,0
counterpicks,Sombra,Junkrat,3,0,0,2,1,0
counterpicks,Tracer,Junkrat,4,1,3,4,0,0
counterpicks,Bastion,Junkrat,2,0,1,1,3,2
counterpicks,Hanzo,Junkrat,5,3,2,1,0,0
counterpicks,Junkrat,Junkrat,,,,,,
counterpicks,Mei,Junkrat,4,1,2,1,1,1
counterpicks,Torbjorn,Junkrat,4,0,4,1,0,2
counterpicks,Widowmaker,Junkrat,5,5,2,0,0,0
counterpicks,D.Va,Junkrat,4,1,5,0,0,0
counterpicks,Reinhardt,Junkrat,2,0,2,1,5,0
counterpicks,Roadhog,Junkrat,4,1,5,1,0,0
counterpicks,Winston,Junkrat,3,0,3,2,2,0
counterpicks,Zarya,Junkrat,5,6,3,1,0,0
counterpicks,Ana,Junkrat,4,0,2,2,0,0
counterpicks,Lucio,Junkrat,3,0,1,1,2,0
counterpicks,Mercy,Junkrat,2,0,2,1,3,5
counterpicks,Symmetra,Junkrat,1,0,0,0,2,3
counterpicks,Zenyatta,Junkrat,3,0,2,3,2,0
counterpicks,Genji,Mei,1,0,0,4,6,11
counterpicks,McCree,Mei,4,1,3,2,0,0
counterpicks,Pharah,Mei,4,8,6,2,0,1
counterpicks,Reaper,Mei,3,1,3,3,1,1
counterpicks,Soldier: 76,Mei,3,0,1,2,0,1
counterpicks,Sombra,Mei,3,0,0,2,0,0
counterpicks,Tracer,Mei,5,8,3,2,1,1
counterpicks,Bastion,Mei,3,0,1,3,4,0
counterpicks,Hanzo,Mei,4,1,2,2,0,0
counterpicks,Junkrat,Mei,4,3,2,4,0,1
counterpicks,Mei,Mei,,,,,,
counterpicks,Torbjorn,Mei,2,0,0,1,2,0
counterpicks,Widowmaker,Mei,4,0,4,1,0,1
counterpicks,D.Va,Mei,2,0,1,4,4,3
counterpicks,Reinhardt,Mei,3,0,1,1,0,1
counterpicks,Roadhog,Mei,3,1,1,5,2,1
counterpicks,Winston,Mei,3,0,1,6,0,1
counterpicks,Zarya,Mei,4,2,7,2,2,0
counterpicks,Ana,Mei,4,0,1,1,0,0
counterpicks,Lucio,Mei,3,0,0,3,2,1
counterpicks,Mercy,Mei,1,0,0,0,0,3
counterpicks,Symmetra,Mei,2,0,0,1,1,2
counterpicks,Zenyatta,Mei,3,0,1,1,1,0
counterpicks,Genji,Torbjorn,3,3,1,2,3,0
counterpicks,McCree,Torbjorn,3,1,3,6,0,0
counterpicks,Pharah,Torbjorn,5,6,3,1,0,0
counterpicks,Reaper,Torbjorn,2,0,0,2,3,1
counterpicks,Soldier: 76,Torbjorn,5,2,0,0,0,0
counterpicks,Sombra,Torbjorn,3,0,0,2,0,0
counterpicks,Tracer,Torbjorn,2,1,0,0,2,2
counterpicks,Bastion,Torbjorn,4,1,2,1,1,0
counterpicks,Hanzo,Torbjorn,5,2,1,1,0,0
counterpicks,Junkrat,Torbjorn,5,3,1,1,1,0
counterpicks,Mei,Torbjorn,4,1,2,1,0,0
counterpicks,Torbjorn,Torbjorn,,,,,,
counterpicks,Widowmaker,Torbjorn,5,4,0,1,0,0
counterpicks,D.Va,Torbjorn,5,4,1,0,0,0
counterpicks,Reinhardt,Torbjorn,5,2,0,1,0,0
counterpicks,Roadhog,Torbjorn,4,3,1,1,2,0
counterpicks,Winston,Torbjorn,4,0,2,1,1,0
counterpicks,Zarya,Torbjorn,4,0,3,1,0,0
counterpicks,Ana,Torbjorn,4,1,2,0,0,0
counterpicks,Lucio,Torbjorn,5,2,0,1,1,0
counterpicks,Mercy,Torbjorn,2,0,1,3,2,6
counterpicks,Symmetra,Torbjorn,3,0,1,2,0,1
counterpicks,Zenyatta,Torbjorn,5,4,3,0,0,0
counterpicks,Genji,Widowmaker,5,5,3,1,0,0
counterpicks,McCree,Widowmaker,2,0,1,1,4,3
counterpicks,Pharah,Widowmaker,2,1,0,3,3,3
counterpicks,Reaper,Widowmaker,2,2,0,1,4,1
counterpicks,Soldier: 76,Widowmaker,4,0,2,1,0,1
counterpicks,Sombra,Widowmaker,3,0,1,1,1,0
counterpicks,Tracer,Widowmaker,4,2,2,1,1,0
counterpicks,Bastion,Widowmaker,2,0,0,0,3,3
counterpicks,Hanzo,Widowmaker,3,2,0,1,1,2
counterpicks,Junkrat,Widowmaker,1,0,1,1,0,4
counterpicks,Mei,Widowmaker,2,0,3,1,2,3
counterpicks,Torbjorn,Widowmaker,2,0,1,1,2,2
counterpicks,Widowmaker,Widowmaker,,,,,,
counterpicks,D.Va,Widowmaker,5,6,1,0,0,0
counterpicks,Reinhardt,Widowmaker,4,2,1,0,1,1
counterpicks,Roadhog,Widowmaker,3,0,2,2,1,0
counterpicks,Winston,Widowmaker,5,9,0,0,0,0
counterpicks,Zarya,Widowmaker,2,0,1,0,3,1
counterpicks,Ana,Widowmaker,3,0,3,2,1,1
counterpicks,Lucio,Widowmaker,3,0,1,3,2,0
counterpicks,Mercy,Widowmaker,1,0,0,1,1,3
counterpicks,Symmetra,Widowmaker,3,1,1,1,2,1
counterpicks,Zenyatta,Widowmaker,2,0,1,1,2,1
counterpicks,Genji,D.Va,3,0,1,2,1,0
counterpicks,McCree,D.Va,3,1,3,5,2,1
counterpicks,Pharah,D.Va,2,0,0,3,3,2
counterpicks,Reaper,D.Va,4,3,3,5,0,0
counterpicks,Soldier: 76,D.Va,4,0,2,2,0,0
counterpicks,Sombra,D.Va,4,0,3,0,0,0
counterpicks,Tracer,D.Va,4,1,2,1,2,0
counterpicks,Bastion,D.Va,3,0,2,3,2,0
counterpicks,Hanzo,D.Va,3,0,1,4,0,0
counterpicks,Junkrat,D.Va,4,0,4,3,0,1
counterpicks,Mei,D.Va,5,9,3,0,0,0
counterpicks,Torbjorn,D.Va,2,0,0,0,3,3
counterpicks,Widowmaker,D.Va,2,0,0,2,2,4
counterpicks,D.Va,D.Va,,,,,,
counterpicks,Reinhardt,D.Va,4,0,3,0,0,0
counterpicks,Roadhog,D.Va,4,2,3,4,1,0
counterpicks,Winston,D.Va,2,0,0,1,5,2
counterpicks,Zarya,D.Va,5,13,1,0,0,0
counterpicks,Ana,D.Va,3,0,0,1,1,0
counterpicks,Lucio,D.Va,3,0,1,2,1,1
counterpicks,Mercy,D.Va,1,0,1,1,3,6
counterpicks,Symmetra,D.Va,3,1,3,5,1,0
counterpicks,Zenyatta,D.Va,5,6,4,1,0,0
counterpicks,Genji,Reinhardt,2,0,0,1,1,1
counterpicks,McCree,Reinhardt,4,1,2,2,1,0
counterpicks,Pharah,Reinhardt,4,2,4,0,0,0
counterpicks,Reaper,Reinhardt,5,3,2,0,0,0
counterpicks,Soldier: 76,Reinhardt,3,0,1,2,1,0
counterpicks,Sombra,Reinhardt,5,1,0,0,0,0
counterpicks,Tracer,Reinhardt,5,2,1,0,0,0
counterpicks,Bastion,Reinhardt,5,3,1,0,0,0
counterpicks,Hanzo,Reinhardt,3,0,2,2,1,1
counterpicks,Junkrat,Reinhardt,5,3,3,0,0,0
counterpicks,Mei,Reinhardt,4,2,2,1,1,0
counterpicks,Torbjorn,Reinhardt,2,0,0,1,2,0
counterpicks,Widowmaker,Reinhardt,1,0,0,0,2,3
counterpicks,D.Va,Reinhardt,3,1,3,3,1,1
counterpicks,Reinhardt,Reinhardt,,,,,,
counterpicks,Roadhog,Reinhardt,4,3,3,1,0,0
counterpicks,Winston,Reinhardt,4,1,2,1,1,0
counterpicks,Zarya,Reinhardt,3,0,0,3,1,0
counterpicks,Ana,Reinhardt,4,1,2,1,2,0
counterpicks,Lucio,Reinhardt,4,0,1,1,0,0
counterpicks,Mercy,Reinhardt,1,3,0,0,1,5
counterpicks,Symmetra,Reinhardt,4,2,3,1,3,0
counterpicks,Zenyatta,Reinhardt,4,1,3,2,0,0
counterpicks,Genji,Roadhog,3,0,1,1,2,0
counterpicks,McCree,Roadhog,3,0,2,3,2,1
counterpicks,Pharah,Roadhog,3,0,1,3,1,1
counterpicks,Reaper,Roadhog,5,4,1,1,1,0
counterpicks,Soldier: 76,Roadhog,4,0,1,1,0,0
counterpicks,Sombra,Roadhog,5,2,0,1,0,1
counterpicks,Tracer,Roadhog,3,3,0,1,3,0
counterpicks,Bastion,Roadhog,2,1,0,0,1,1
counterpicks,Hanzo,Roadhog,4,0,2,0,2,0
counterpicks,Junkrat,Roadhog,3,0,2,2,1,0
counterpicks,Mei,Roadhog,4,1,2,0,0,0
counterpicks,Torbjorn,Roadhog,3,0,0,2,2,0
counterpicks,Widowmaker,Roadhog,4,2,1,3,0,0
counterpicks,D.Va,Roadhog,4,1,3,2,0,0
counterpicks,Reinhardt,Roadhog,3,0,0,2,1,1
counterpicks,Roadhog,Roadhog,,,,,,
counterpicks,Winston,Roadhog,2,0,0,2,2,4
counterpicks,Zarya,Roadhog,4,3,1,2,0,1
counterpicks,Ana,Roadhog,5,3,0,0,0,0
counterpicks,Lucio,Roadhog,2,1,1,0,2,1
counterpicks,Mercy,Roadhog,1,0,0,0,0,3
counterpicks,Symmetra,Roadhog,2,0,0,0,2,2
counterpicks,Zenyatta,Roadhog,5,5,1,1,0,1
counterpicks,Genji,Winston,1,0,0,0,0,12
counterpicks,McCree,Winston,4,1,3,4,0,0
counterpicks,Pharah,Winston,3,1,0,2,1,0
counterpicks,Reaper,Winston,5,8,0,0,0,0
counterpicks,Soldier: 76,Winston,5,2,2,0,0,0
counterpicks,Sombra,Winston,2,0,0,0,1,0
counterpicks,Tracer,Winston,3,0,2,2,1,0
counterpicks,Bastion,Winston,5,5,0,0,0,0
counterpicks,Hanzo,Winston,2,0,1,0,2,1
counterpicks,Junkrat,Winston,4,0,3,3,0,0
counterpicks,Mei,Winston,5,2,2,0,0,0
counterpicks,Torbjorn,Winston,3,0,2,3,0,0
counterpicks,Widowmaker,Winston,2,0,1,2,1,3
counterpicks,D.Va,Winston,5,3,1,0,0,1
counterpicks,Reinhardt,Winston,5,2,0,1,0,0
counterpicks,Roadhog,Winston,5,3,2,0,0,0
counterpicks,Winston,Winston,,,,,,
counterpicks,Zarya,Winston,5,3,2,1,0,0
counterpicks,Ana,Winston,2,0,1,0,2,0
counterpicks,Lucio,Winston,4,2,2,3,0,0
counterpicks,Mercy,Winston,1,0,1,0,0,2
counterpicks,Symmetra,Winston,1,0,0,1,1,3
counterpicks,Zenyatta,Winston,5,6,1,3,0,0
counterpicks,Genji,Zarya,2,0,1,1,3,5
counterpicks,McCree,Zarya,3,0,1,3,0,2
counterpicks,Pharah,Zarya,4,2,6,3,0,0
counterpicks,Reaper,Zarya,4,2,2,2,0,0
counterpicks,Soldier: 76,Zarya,4,0,2,1,0,0
counterpicks,Sombra,Zarya,5,1,0,0,0,0
counterpicks,Tracer,Zarya,5,5,1,0,0,0
counterpicks,Bastion,Zarya,4,1,3,0,1,0
counterpicks,Hanzo,Zarya,4,0,1,0,0,0
counterpicks,Junkrat,Zarya,2,0,0,4,2,4
counterpicks,Mei,Zarya,5,3,3,0,0,0
counterpicks,Torbjorn,Zarya,2,0,0,0,3,0
counterpicks,Widowmaker,Zarya,4,0,2,1,0,0
counterpicks,D.Va,Zarya,2,0,1,1,7,9
counterpicks,Reinhardt,Zarya,3,0,1,2,0,0
counterpicks,Roadhog,Zarya,3,0,3,4,1,0
counterpicks,Winston,Zarya,3,0,0,3,3,0
counterpicks,Zarya,Zarya,,,,,,
counterpicks,Ana,Zarya,4,0,1,0,1,0
counterpicks,Lucio,Zarya,4,2,1,1,2,0
counterpicks,Mercy,Zarya,1,2,1,2,1,7
counterpicks,Symmetra,Zarya,2,0,1,1,2,1
counterpicks,Zenyatta,Zarya,4,2,4,0,2,0
counterpicks,Genji,Ana,5,1,1,0,0,0
counterpicks,McCree,Ana,4,0,3,2,0,0
counterpicks,Pharah,Ana,3,0,0,3,1,1
counterpicks,Reaper,Ana,4,0,2,1,0,0
counterpicks,Soldier: 76,Ana,3,0,1,2,0,0
counterpicks,Sombra,Ana,3,0,0,1,0,0
counterpicks,Tracer,Ana,4,2,1,1,1,0
counterpicks,Bastion,Ana,2,0,0,0,3,1
counterpicks,Hanzo,Ana,4,0,1,1,0,0
counterpicks,Junkrat,Ana,3,0,1,2,0,0
counterpicks,Mei,Ana,4,0,2,0,0,0
counterpicks,Torbjorn,Ana,3,0,0,2,1,0
counterpicks,Widowmaker,Ana,3,0,1,2,0,0
counterpicks,D.Va,Ana,4,0,3,0,0,0
counterpicks,Reinhardt,Ana,3,0,0,2,1,0
counterpicks,Roadhog,Ana,4,3,3,1,1,0
counterpicks,Winston,Ana,4,2,2,0,0,1
counterpicks,Zarya,Ana,3,1,0,2,0,0
counterpicks,Ana,Ana,,,,,,
counterpicks,Lucio,Ana,4,1,1,1,1,0
counterpicks,Mercy,Ana,1,0,0,1,1,3
counterpicks,Symmetra,Ana,2,0,1,0,1,1
counterpicks,Zenyatta,Ana,3,0,1,2,2,0
counterpicks,Genji,Lucio,4,0,3,1,0,0
counterpicks,McCree,Lucio,5,2,1,0,0,0
counterpicks,Pharah,Lucio,5,3,2,1,0,0
counterpicks,Reaper,Lucio,3,1,2,2,1,1
counterpicks,Soldier: 76,Lucio,4,1,1,1,0,0
counterpicks,Sombra,Lucio,5,1,1,0,0,0
counterpicks,Tracer,Lucio,4,1,2,1,0,0
counterpicks,Bastion,Lucio,4,0,2,0,1,0
counterpicks,Hanzo,Lucio,4,1,1,0,1,0
counterpicks,Junkrat,Lucio,4,2,1,2,0,0
counterpicks,Mei,Lucio,5,5,1,1,0,0
counterpicks,Torbjorn,Lucio,4,1,1,2,0,0
counterpicks,Widowmaker,Lucio,4,0,2,2,0,0
counterpicks,D.Va,Lucio,4,0,3,2,1,0
counterpicks,Reinhardt,Lucio,4,1,1,0,0,1
counterpicks,Roadhog,Lucio,5,6,1,0,0,0
counterpicks,Winston,Lucio,5,5,1,1,1,0
counterpicks,Zarya,Lucio,4,1,1,2,0,0
counterpicks,Ana,Lucio,4,2,1,1,1,0
counterpicks,Lucio,Lucio,,,,,,
counterpicks,Mercy,Lucio,2,0,0,2,3,4
counterpicks,Symmetra,Lucio,4,3,1,2,0,1
counterpicks,Zenyatta,Lucio,3,0,2,1,2,0
counterpicks,Genji,Mercy,5,4,0,0,0,0
counterpicks,McCree,Mercy,5,4,1,0,0,0
counterpicks,Pharah,Mercy,5,6,1,1,0,0
counterpicks,Reaper,Mercy,5,4,1,0,0,0
counterpicks,Soldier: 76,Mercy,5,4,2,0,0,0
counterpicks,Sombra,Mercy,5,4,0,0,0,0
counterpicks,Tracer,Mercy,5,2,0,0,0,0
counterpicks,Bastion,Mercy,5,5,1,2,1,0
counterpicks,Hanzo,Mercy,5,1,0,0,0,0
counterpicks,Junkrat,Mercy,5,3,2,0,0,0
counterpicks,Mei,Mercy,5,4,1,0,0,0
counterpicks,Torbjorn,Mercy,4,3,3,2,0,0
counterpicks,Widowmaker,Mercy,5,2,1,0,0,0
counterpicks,D.Va,Mercy,5,3,1,0,0,0
counterpicks,Reinhardt,Mercy,5,3,1,2,0,0
counterpicks,Roadhog,Mercy,5,2,0,0,0,1
counterpicks,Winston,Mercy,5,2,2,0,0,0
counterpicks,Zarya,Mercy,5,2,1,0,1,0
counterpicks,Ana,Mercy,5,2,0,2,0,0
counterpicks,Lucio,Mercy,3,3,1,5,3,0
counterpicks,Mercy,Mercy,,,,,,
counterpicks,Symmetra,Mercy,5,6,1,4,0,1
counterpicks,Zenyatta,Mercy,5,5,2,1,0,0
counterpicks,Genji,Symmetra,1,1,0,2,1,8
counterpicks,McCree,Symmetra,4,2,3,3,0,1
counterpicks,Pharah,Symmetra,5,4,2,0,0,0
counterpicks,Reaper,Symmetra,4,2,2,3,0,0
counterpicks,Soldier: 76,Symmetra,4,2,1,1,1,0
counterpicks,Sombra,Symmetra,5,2,0,1,0,0
